"id","comment","rating"
"41","_Unica coisa que sei sobre DIIC e' que um prof da cadeira encontrou uma ex-aluna e disse-lhe 'Hey, eu dei-te DIIC o ano passado' e nao se apercebeu de como soou._","1"
"42","ESLE é uma cadeira muito interessante. Considero mesmo muito importante, sobretudo se queres seguir investigação em sistemas distribuídos. Não é mais exigente que SEC, o projeto foi interessante (mas sendo aberto, cada grupo ficou com um sistema diferente pelo que o prof dos labs dava um apoio mais geral). O exame é semelhante a SEC na estrutura, mas a matéria em si não é tão complexa a meu ver","4"
"43","Pos Mepp:
Professor Miguel Matos tornava as teóricas super interessantes, a materia também interessante para quem gosta de questões de escalabilidade e avaliar sistemas. Imo importante para qualquer pessoa que goste da área de SD e sistemas informaticos overall.

Projeto era avaliar um sistema a tua escolha com o que aprendemos nas aulas. Por ser livre pode ter a dificulade quer quiseres. Imo o truque é escolher um sistema facil de dar deploy em docker e que quanto mais servidores pior a performance e etc para correr experiencias.

O exame tens mesmo de perceber os conceitos a fundo porque não é muito direto.
Overall das melhores adaptações ao mepp pelo professor que apanhei."
"44","É uma cadeira fixe. A meu ver, a mais interessante da especialização de Engenharia de Software. Usam-se linguagens de especificação formal para modelar software. Faz-se verificação de código contra as especificações. Usa-se a linguagem Dafny, que envolve verificar pré-condições, invariantes e pós-condições e a ferramenta Alloy Analyzer, que usa a linguagem Alloy e tem uma componente gráfica. Pesquisem estas linguagens para verem se gostam. Quem deu todas as aulas da cadeira foi o professor José Fragoso, que é particularmente bom a explicar este tipo de matérias. São feitos muitos exercícios práticos nas aulas e o professor costuma assinalar que tipos de exercícios saem no exame para os alunos saberem exatamente aquilo que têm que saber. Levem caderno e caneta/lápis para as aulas - nesta cadeira fazes código, mas também imensos esboços e rabiscos xD"
"45","A cadeira de ETPN tem potencial para ser muito interessante mas infelizmente fica àquem das expectativas por causa do professor da cadeira que não parece perceber nada do que está a falar, é incompreensível com os alunos e overall não é um bom professor. 

A disciplina é essencialmente um seminário por semana com MAPs em cada semana que foram horríves, 15 minutos sob pressão e tudo escolha múltipla que descontava, havia perguntas que não tinhamos abordado na aula, nem estavam nos slides da disciplina nem no LIVRO da disciplina, perguntas cujas respostas se contradiziam a elas próprias…enfim imensas inconsitências nos MAPs. 

All in all tho, é uma cadeira fácil se fizeres estudo autónomo. Eu recomendo o livro da cadeira, à primeira é uma seca, mas à medida que se vai lendo os tópicos começa-se a perceber que ETPN podia ser uma cadeira interessante mas o professor escolheu abordar os tópicos mais aborrecidos que o livro tem para oferecer e da maneira mais preguiçosa possível. O exame é fácil, escolha múltipla que são essencialmente cálculos de 5º ano. Abordamos no total 11 capítulos de matéria do livro mas na prática o professor só colocou 3 capítulos de matéria no exame. O projeto é feito em grupos de 5, também é fácil, dão-te um study case famoso e tens de fazer o esquema para o funcionamento daquela empresa em BPMN bem como as melhorias que proponhas, desde que seja tudo bem justificado certamente se tira uma boa nota no projeot de ETPN, o professor que avalia os projetos é simpático e está sempre disponível a responder a questões sobre o projeto.

Posso dizer que aprendi bastante em ETPN mas foi mesmo fruto de estudo autónomo, não fui a aulas sem ser na primeira semana e fiz bem a cadeira, para quem quiser créditos também é uma cadeira ótima para fazer."
"46","[Tomás Lopes](https://github.com/tomasbflopes):

Not much to say, é essencialmente o mesmo género de matéria e o mesmo género de trabalho que GSI. Quem fez GSI porque dava pouco trabalho e quer outra cadeira assim só com trabalhos semanais meio ranhosos, força. (também é habitual o tal padrão de GSI de ter notas baixas nos primeiros trabalhos e depois ir subindo) O prof. overall até é simpático mas é tão desorganizado como o Borbinha, e não há aulas - só há um turno teórico de 3h por semana mas normalmente não dura mais que meia hora (é só para dúvidas). Also worth noting que esta cadeira já antes da pandemia era totalmente remota (tanto em termos de aulas como em termos de avaliação) e remote teaching é uma das áreas de pesquisa do prof., por isso tenho tipo 99% de certeza que a cadeira vai continuar a ser remota, mesmo que volte a haver aulas presenciais."
"47","[Tomás Lopes](https://github.com/tomasbflopes):

É uma cadeira velha dada por velhos presa no tempo dos velhos.

Aprendem não sei quantas técnicas sobre gestão de projetos, quais os lifecycle models para gerir projetos, etc. Falam de time management, organization management, cost/resource management, risk management, etc, tudo num contexto mais waterfall based. O projeto envolve gerir um projeto fictício onde aplicam as técnicas todas que aprendem, e até é giro (mas preparem-se para passar a vossa vida a mexer no Microsoft Project). Depois os testes são mais do mesmo, se participarem no projeto ficam já com tudo meio estudado para os testes.

Em vez de terem aulas teóricas e aulas práticas, só têm 1 bloco teórico-prático de 3h por semana (talvez não seja assim para o ano, com o MEPP...). Os turnos são mais pequenos e a primeira 1h30 é para dar matéria, a segunda 1h30 é para avançar o projeto. Se trabalharem rápido, conseguem logo despachar um bom bocado do projeto só nas aulas, por isso em termos de carga de trabalho também é bastante favorável.

Overall, tirando o facto da cadeira estar muito, mas muito presa no passado (só falam de agile/devops tipo 1 semana), a cadeira até nem é má. Mas fica um aviso: este ano, pelo menos, eles tinham turnos disponíveis em português e turnos em inglês - por amor de deus, inscrevam-se num turno em português. Eu tinha a Rosário num turno inglês e enfim, aquilo doía. E pelo que oiço, o inglês do outro prof também não é muito melhor.

(também é noteworthy dizer, though, que a grande maioria das técnicas que vocês aprendem podem ser aplicadas fora do contexto de projetos informáticos; podem ser aplicadas em essencialmente qualquer tipo de projeto)"
"48","é uma cadeira super facil, n posso falar dos conteudos mas é basicamente fazer relatorios semanais. Para o pessoal de segurança o que ouvi é que não ganham muito em termos de conteudo mas lets be real, com o resto das cadeiras é preciso alguma para respirar um pouco lmao. Overall quem precisa de uma cadeira facil e n se importe de fazer um relatoriozinho semanal é commended"
"49","A cadeira é sem dúvida alguma a coisa mais chill de sempre. Começa logo pelo facto de o Borbinha ser o responsável. Ele não quer mesmo saber de nada e quem trabalha são os alunos que auxiliam (e são os responsáveis por corrigir).

Há um relatório semanal, no qual são fornecidos vários documentos (por experiência pessoal ler aquilo é praticamente inútil). Pedem um mind map e umas perguntas de resposta aberta / pesquisa sobre um tema.
Todas as semanas também tens de preencher um form para dar review a outros relatórios. Basta mesmo só preencher e no final são 0.5 extra na nota dos relatórios (2 valores nota final).

O projeto tem 3 entregas e são essencialmente um relatório maior e em grupo. A cada entrega fica mais fácil porque aquilo vai acumulando grupos e no final é suposto serem 16 pessoas.

No fim há um 'teste' que é basicamente mais um relatório. São 3 horas para o fazer, e aquilo faz-se bastante bem depois de tantos que já foram feitos antes.

Overall a cadeira faz-se bastante bem. Na primeira semana passei os dias todos a ler e a tentar ao máximo ter o relatório bem. Acabou por ser a minha pior nota dos relatórios. A partir daí comecei a fazer as coisas mais nas calmas e funcionou. Os alunos que corrigem são bastante chill e só querem saber da quantidade de texto que escreves e da quantidade de bold que o teu texto tem.
É a dica mais importante .. usem bold."
"50","Pos Mepp:
A adpatação foi um shitshow no sentido em que o professor alterou muita coisa em relacao ao pre mepp. 6 horas de aulas semanais . 6 essays + um final essay. 6 entregas de projeto. 6 reviews

Depende do teu objetivo a fazer a cadeira. Eu só queria os creditos não fui a uma unica aula e Fiz os essays sem ler um unico texto apenas juntava as palavras e mandava pão tive sempre de 4 para cima (de 0 a 5) nas entregas. Se o objetivo for aprender alguma coisa por essay era cerca de 600 paginas para ler. Demorei cerca de meia hora para cada essay e meia hora para cada pergunta do final essay(4 perguntas).
As reviews era um for para dar rank mandei smp random demorava 5 minutos.

O projeto há entregas que dão mais trabalho que outras. Os grupos são random de 5 ou 10 pessoas. No meu caso todos trabalharam por isso cada pessoa fez o minimo e não deu muito trabalho overall (mas se calhares em grupo q ning trabalha fudeu).

Não tem exame.

TDLR: Não aprendi nada mas também não tinha interesse e passei facilmente. Se objetivo for aprender não me parece muito util a forma como o borbinha dá a cadeira."
"51","Mepp: Fiz IE este ano, primeiro ano de Mepp, e posso dizer que a cadeira é muito interessante para quem gosta de desafios. O objetivo da cadeira é exatamente o que diz o nome, integrar aplicações. Vão aprender técnicas de integração muito uteis e usadas nos dias de hoje, como MOM (Message oriented middleware), kafka (usado no projeto), como escrever e ler para/de tópicos e como fazer o processamento dos dados dos tópicos com kafka streams. Não achei que fosse preciso conhecimento teorico prévio, mas programação Java é fundamental. Programámos na framework `Quarkus`. O projeto foi uma desorganização total. Era sobre a implementação de um serviço Atonomous Vehicle as a Service, que basicamente era uma aplicação que recebe montes de informação de outras, e interage com apis externas. O projeto foi divido em 3 sprints que tinham como objetivo implementar os casos de uso que eles pedem. E pedem coisas como implementação CRUD numa base de dados AWS RDS, criação de um kafka cluster, criação e processamento de tópicos e interação com serviços (API's) externas. O exame achei acessivel e dos poucos exames do tecnico como pouca matéria para estudar, O projeto é que foi terrivel, não que fosse dificil, mas sim porque o enunciado não era nada nada explicito e o stor não esclarecia muito, e acreditem que o chateiei muito. Quem está indeciso entre fazer ou nao a cadeira, e acha que deve, então força, recomendo e não me arrependo. Se se sentirem perdidos como eu a meio do semestre no projeto e  eventualmente precisarem de ajuda ou alguma 'luz' tenho num repositório o projeto AVaaS (Autonomous-Vehicle-As-A-Service) deste ano no meu github."
"52","A cadeira é extremamente introdutória. Aprendes a mexer com ROS (quase tudo auto aprendizagem btw) e os projetos são basicamente só usar packages já existentes para pôr o robot a fazer merdas (localizar-se, pathfinding, etc.). Em termos teoricos aprendes os básicos necessários para fazer os projetos. Aprendemos algoritmos de mapeamento e localização, markov chains, MDPs e tal. Tudo cenas que podes aprender melhor noutras cadeiras de Sistemas Inteligentes"
